# 数据册别：四年级上册
# 格式：汉字 | 拼音 | 组词1 | 拼音 | 释义 ; 组词2 | 拼音 | 释义 ; 组词3 | 拼音 | 释义
# 说明：每个字固定三个组词；第一个组词用于每日听写，请优先放课文/词语表里的词。

[第1课]
摔 | shuāi | 摔倒 | shuāi dǎo | 失去平衡倒下 ; 摔跤 | shuāi jiāo | 常用组词 ; 摔碎 | shuāi suì | 常用组词

[第21课]
表 | biǎo | 表演 | biǎo yǎn | 展示节目技能 ; 表示 | biǎo shì | 常用组词 ; 手表 | shǒu biǎo | 常用组词
演 | yǎn | 演出 | yǎn chū | 表演节目 ; 表演 | biǎo yǎn | 常用组词 ; 演员 | yǎn yuán | 常用组词
俩 | liǎ | 他俩 | tā liǎ | 两个人 ; 咱俩 | zán liǎ | 常用组词 ; 俩人 | liǎ rén | 常用组词
练 | liàn | 练习 | liàn xí | 反复做提高熟练 ; 训练 | xùn liàn | 常用组词 ; 练字 | liàn zì | 常用组词
棒 | bàng | 木棒 | mù bàng | 粗木棍 ; 棒球 | bàng qiú | 常用组词 ; 真棒 | zhēn bàng | 常用组词
示 | shì | 表示 | biǎo shì | 显示意思 ; 示意 | shì yì | 常用组词 ; 展示 | zhǎn shì | 常用组词
技 | jì | 技术 | jì shù | 工作方法技能 ; 技巧 | jì qiǎo | 常用组词 ; 科技 | kē jì | 常用组词
撤 | chè | 撤退 | chè tuì | 向后退出 ; 撤离 | chè lí | 常用组词 ; 撤销 | chè xiāo | 常用组词
捶 | chuí | 捶背 | chuí bèi | 拳头轻打背部 ; 捶打 | chuí dǎ | 常用组词 ; 捶腿 | chuí tuǐ | 常用组词
哄 | hōng | 哄笑 | hōng xiào | 众人大声笑 ; 起哄 | qǐ hòng | 常用组词 ; 哄闹 | hōng nào | 常用组词
堂 | táng | 课堂 | kè táng | 上课学习场所 ; 礼堂 | lǐ táng | 常用组词 ; 食堂 | shí táng | 常用组词
摘 | zhāi | 摘下 | zhāi xià | 取下植物上东西 ; 采摘 | cǎi zhāi | 常用组词 ; 摘果 | zhāi guǒ | 常用组词

[第23课]
戎 | róng | 戎马 | róng mǎ | 军旅战争生活 ; 戎装 | róng zhuāng | 常用组词 ; 兵戎 | bīng róng | 常用组词
诸 | zhū | 诸位 | zhū wèi | 对许多人敬称 ; 诸多 | zhū duō | 常用组词 ; 诸侯 | zhū hóu | 常用组词
竞 | jìng | 竞争 | jìng zhēng | 相互比试 ; 竞赛 | jìng sài | 常用组词 ; 竞技 | jìng jì | 常用组词
唯 | wéi | 唯一 | wéi yī | 只有一个 ; 唯独 | wéi dú | 常用组词 ; 唯有 | wéi yǒu | 常用组词

[语文园地四]
韭 | jiǔ | 韭菜 | jiǔ cài | 细长叶蔬菜 ; 韭黄 | jiǔ huáng | 常用组词 ; 韭菜花 | jiǔ cài huā | 常用组词
芹 | qín | 芹菜 | qín cài | 绿色蔬菜 ; 水芹 | shuǐ qín | 常用组词 ; 芹菜叶 | qín cài yè | 常用组词
椒 | jiāo | 辣椒 | là jiāo | 辣味蔬菜 ; 花椒 | huā jiāo | 常用组词 ; 青椒 | qīng jiāo | 常用组词
蒜 | suàn | 大蒜 | dà suàn | 辛辣植物 ; 蒜苗 | suàn miáo | 常用组词 ; 蒜头 | suàn tóu | 常用组词
薯 | shǔ | 红薯 | hóng shǔ | 块根作物 ; 马铃薯 | mǎ líng shǔ | 常用组词 ; 薯片 | shǔ piàn | 常用组词
藕 | ǒu | 莲藕 | lián ǒu | 莲地下茎 ; 藕片 | ǒu piàn | 常用组词 ; 藕粉 | ǒu fěn | 常用组词
芋 | yù | 芋头 | yù tou | 块茎作物 ; 芋艿 | yù nǎi | 常用组词 ; 芋泥 | yù ní | 常用组词
姜 | jiāng | 生姜 | shēng jiāng | 辛辣调味植物 ; 姜片 | jiāng piàn | 常用组词 ; 姜汤 | jiāng tāng | 常用组词

[第24课]
席 | xí | 主席 | zhǔ xí | 主持负责人 ; 席位 | xí wèi | 常用组词 ; 草席 | cǎo xí | 常用组词
抛 | pāo | 抛出 | pāo chū | 用力扔出 ; 抛开 | pāo kāi | 常用组词 ; 抛球 | pāo qiú | 常用组词
激 | jī | 激动 | jī dòng | 情绪强烈变化 ; 激励 | jī lì | 常用组词 ; 激烈 | jī liè | 常用组词
奉 | fèng | 奉献 | fèng xiàn | 恭敬给予贡献 ; 奉命 | fèng mìng | 常用组词 ; 奉行 | fèng xíng | 常用组词
训 | xùn | 训练 | xùn liàn | 培养技能 ; 教训 | jiào xùn | 常用组词 ; 训话 | xùn huà | 常用组词
亿 | yì | 一亿 | yī yì | 一万万 ; 亿万 | yì wàn | 常用组词 ; 数亿 | shù yì | 常用组词
勤 | qín | 勤奋 | qín fèn | 努力不懈 ; 勤劳 | qín láo | 常用组词 ; 勤快 | qín kuai | 常用组词
邀 | yāo | 邀请 | yāo qǐng | 请别人参加 ; 邀约 | yāo yuē | 常用组词 ; 应邀 | yìng yāo | 常用组词

[第25课]
崛 | jué | 崛起 | jué qǐ | 迅速兴起 ; 崛立 | jué lì | 常用组词 ; 崛强 | jué qiáng | 常用组词
肃 | sù | 严肃 | yán sù | 认真庄重 ; 肃静 | sù jìng | 常用组词 ; 肃立 | sù lì | 常用组词
脱 | tuō | 脱离 | tuō lí | 离开状态关系 ; 脱掉 | tuō diào | 常用组词 ; 摆脱 | bǎi tuō | 常用组词
默 | mò | 沉默 | chén mò | 不说话 ; 默写 | mò xiě | 常用组词 ; 默读 | mò dú | 常用组词
晰 | xī | 清晰 | qīng xī | 清楚分明 ; 明晰 | míng xī | 常用组词 ; 清晰度 | qīng xī dù | 常用组词
离 | lí | 离开 | lí kāi | 从身边走开 ; 距离 | jù lí | 常用组词 ; 分离 | fēn lí | 常用组词
凡 | fán | 平凡 | píng fán | 普通 ; 凡是 | fán shì | 常用组词 ; 非凡 | fēi fán | 常用组词
惩 | chéng | 惩罚 | chéng fá | 对错误处罚 ; 惩处 | chéng chǔ | 常用组词 ; 惩治 | chéng zhì | 常用组词
斥 | chì | 斥责 | chì zé | 严厉责备 ; 排斥 | pái chì | 常用组词 ; 驳斥 | bó chì | 常用组词
燃 | rán | 燃烧 | rán shāo | 发光发热烧起 ; 燃料 | rán liào | 常用组词 ; 点燃 | diǎn rán | 常用组词

[第27课]
词 | cí | 词语 | cí yǔ | 语言单位 ; 词典 | cí diǎn | 常用组词 ; 诗词 | shī cí | 常用组词
葡 | pú | 葡萄 | pú táo | 成串水果 ; 葡萄干 | pú táo gān | 常用组词 ; 葡萄园 | pú táo yuán | 常用组词
萄 | táo | 葡萄 | pú táo | 成串水果 ; 葡萄糖 | pú táo táng | 常用组词 ; 葡萄汁 | pú táo zhī | 常用组词
杯 | bēi | 水杯 | shuǐ bēi | 盛饮品容器 ; 杯子 | bēi zi | 常用组词 ; 奖杯 | jiǎng bēi | 常用组词
塞 | sāi | 瓶塞 | píng sāi | 堵瓶口物件 ; 塞住 | sāi zhù | 常用组词 ; 木塞 | mù sāi | 常用组词
秦 | qín | 秦国 | qín guó | 古代国家 ; 秦朝 | qín cháo | 常用组词 ; 秦岭 | qín lǐng | 常用组词
将 | jiàng | 秦将 | qín jiàng | 秦国将领 ; 将军 | jiāng jūn | 常用组词 ; 大将 | dà jiàng | 常用组词
杰 | jié | 杰出 | jié chū | 才能成就突出 ; 杰作 | jié zuò | 常用组词 ; 英杰 | yīng jié | 常用组词
鬼 | guǐ | 鬼怪 | guǐ guài | 传说怪异形象 ; 鬼脸 | guǐ liǎn | 常用组词 ; 小鬼 | xiǎo guǐ | 常用组词
雄 | xióng | 英雄 | yīng xióng | 勇敢杰出的人 ; 雄伟 | xióng wěi | 常用组词 ; 雄壮 | xióng zhuàng | 常用组词
项 | xiàng | 项目 | xiàng mù | 工作活动类别 ; 项链 | xiàng liàn | 常用组词 ; 事项 | shì xiàng | 常用组词
